X,Y,Z,azimuth,dip,polarity,formation
606784.41,5614951.279999998,1368,100,18,1,Cm_Ar_uWf
610554.46,5621731.040100001,1871,440,85,1,CmOd_SP
606946.3899999997,5612084.880000001,2118,447,40,1,Cm_L
614212.1438999996,5618189.941199998,2069,437,24,1,Od_Tp
605966.0000141765,5609867.999991984,1707,415,15,1,Cm_rim
602150.9999859722,5616814.000046502,2065,415,23,1,Cm_Su_l
600900.0000108348,5612214.000040748,1536,435,70,1,Cm_La
604291.9999966393,5608625.000046103,1682,105,32,1,Cm_Su_l
603985.9999830998,5610265.999966811,1900,113,12,1,Cm_Su_l
602742.7200155518,5612278.060039316,1317,410,20,1,Cm_Ca
604851.3199953301,5611844.700051506,1703,100,13,1,Cm_rim
605406.3000068503,5611449.829951429,1746,403,15,1,Cm_Su_l
602859.5491216733,5613028.590109773,1699,110,14,1,Cm_rim
595308.9489146192,5622111.513290993,1830,243,20,1,Cm_Ca
596323.6280290948,5620903.423298617,1631,206,7,1,Cm_Ca
600059.5521145262,5621783.429292441,1886,185,4,1,Cm_Pk
602094.2021025214,5621767.554283893,1478,166,20,1,Cm_Pk
603656.5697016068,5621587.901832847,1759,185,3,1,Cm_Pk
603692.2886008803,5621397.666007607,1880,130,17,1,Cm_Pk
601663.7241136472,5619896.4171486525,1796,420,7,1,Cm_Pk
598929.1875114399,5619945.451740812,2129,398,13,1,Cm_Pk
596780.8288720329,5618394.374630478,1454,235,15,1,Cm_Pk
600574.9615306646,5618084.81142219,1891,383,18,1,Cm_Pk
599371.1049208746,5616952.92166383,1950,203,16,1,Cm_Pk
598058.7689801146,5617307.464026528,1479,177,5,1,Cm_Ca
604996.0000330443,5627359.999955504,2496,230,55,1,Cm_Pk
591254.9999914897,5628979.99995606,1426,273,63,1,Cm_T
601404.0099813512,5627531.729955899,2049,267,68,1,Cm_Ca
590839.9999845005,5630391.999971935,1495,264,65,1,Cm_T
600061.8900193911,5631535.249965307,2059,210,10,1,Cm_Na
586006.0000036104,5640014.000021245,2338,250,54,1,Cm_MD
599660.0000222928,5637361.999986817,2299,240,70,1,Dv_Pa
598059.9999814086,5641998.99996335,2192,215,25,1,Dv_Pa
595099.1599683263,5641436.63810574,2357,430,90,1,Od_Sk
603171.812115511,5623360.2892589485,2018,160,15,1,Cm_Pk
599548.0715007783,5627225.330427425,2307,137,20,1,Cm_Pk
596114.8313339023,5628211.698965156,2024,242,3,1,Cm_Ca
594836.3620839997,5628664.666748465,1370,415,8,1,Cm_G
593456.2927305717,5627568.231135248,1807,293,19,1,Cm_Ca
600575.08019324,5625142.526209922,2167,102,12,1,Cm_Pk
592706.9912053435,5626614.459217128,1289,252,70,1,Cm_T
592592.6908944353,5625945.591054182,1349,260,30,1,Cm_T
601011.114413843,5624808.092187817,2078,248,3,1,Cm_Pk
596912.8161713909,5630431.663511163,1695,222,21,1,Cm_Na
597886.4847733303,5631676.266014912,2219,218,6,1,Cm_Ca
599545.9548702022,5631765.166065669,2058,235,22,1,Cm_Na
600324.88970493,5629301.361233076,2575,112,31,1,Cm_Pk
612381.1158000003,5633738.5548,1832,104.9314672982368,13.665188326785936,1,Dv_Pa
611384.98275,5634840.942000001,1778,353.9909857689734,5.893503887195166,1,Dv_Pa
611246.47285,5634491.8211,1851,250.34618960581287,11.382697572382225,1,Dv_Pa
611692.361,5633916.91005,1807,225.00003019727333,19.349035146046546,1,Dv_Pa
612022.5079000001,5634091.470500002,1832,224.1512340718996,11.714128481757855,1,Dv_Pa
610480.7539499998,5635499.0675,1721,166.56900730212476,28.075418053501092,1,Dv_Pa
610710.8798000002,5635873.56955,1846,90.84246928354172,46.221400116968546,1,Dv_Pa
